timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-06-11 23:00:00,2759.09,2778.28,2754.59,2771.61,16495.1787,1749686399999,45678922.84288400,106647,7614.06970000,21085545.28443300,0
2025-06-12 00:00:00,2771.6,2784.83,2758.9,2775.64,27356.0457,1749689999999,75817619.26933700,171633,12641.82150000,35038186.02186200,0
2025-06-12 01:00:00,2775.63,2778.5,2752.01,2776.1,19402.0914,1749693599999,53650983.46583700,154784,10736.73610000,29689762.25325600,0
2025-06-12 02:00:00,2776.1,2784.64,2757.01,2757.99,17789.3538,1749697199999,49312013.10521000,124756,9368.24850000,25961356.64274200,0
2025-06-12 03:00:00,2758.0,2776.59,2746.49,2765.08,26009.4953,1749700799999,71765407.52798200,156039,12759.44610000,35217138.85158500,0
2025-06-12 04:00:00,2765.08,2769.35,2749.07,2762.5,18695.9542,1749704399999,51552383.74123700,114996,8441.70600000,23281368.58376300,0
2025-06-12 05:00:00,2762.51,2770.3,2751.59,2764.78,11741.6465,1749707999999,32416805.68042800,68787,5950.14690000,16430258.10007400,0
2025-06-12 06:00:00,2764.77,2777.21,2755.15,2768.12,14980.4312,1749711599999,41458453.66845400,94717,8988.03020000,24878831.87191700,0
2025-06-12 07:00:00,2768.13,2773.83,2733.68,2741.0,37795.8861,1749715199999,103981761.71687400,166714,18252.68250000,50228951.30328000,0
2025-06-12 08:00:00,2740.99,2760.89,2732.46,2757.32,21970.6117,1749718799999,60350943.34650600,142382,11434.45910000,31423954.04117300,0
2025-06-12 09:00:00,2757.32,2762.11,2748.93,2752.6,13451.9304,1749722399999,37068452.02339300,79929,7990.28860000,22016715.47099200,0
2025-06-12 10:00:00,2752.6,2753.56,2733.64,2750.3,23186.5356,1749725999999,63618873.82298100,147220,11984.58370000,32887014.56088500,0
2025-06-12 11:00:00,2750.29,2753.54,2720.38,2729.8,30601.5267,1749729599999,83673616.08168000,164529,14654.69320000,40078867.93960900,0
2025-06-12 12:00:00,2729.8,2746.0,2711.94,2736.9,40128.677,1749733199999,109589125.78079100,175564,22463.52030000,61354763.07100500,0
2025-06-12 13:00:00,2736.91,2754.81,2732.25,2749.52,27054.8861,1749736799999,74247098.83277500,147833,14666.33590000,40253982.25837500,0
2025-06-12 14:00:00,2749.53,2770.32,2747.3,2764.79,31360.755,1749740399999,86614550.17811100,171006,16808.12950000,46427968.95055700,0
2025-06-12 15:00:00,2764.8,2773.21,2713.41,2719.79,47918.0041,1749743999999,131416239.73781100,264820,20152.82450000,55289610.96253900,0
2025-06-12 16:00:00,2719.79,2745.44,2715.02,2743.29,31661.7426,1749747599999,86550113.59318200,194769,16422.39680000,44900513.25672500,0
2025-06-12 17:00:00,2743.3,2771.0,2741.0,2762.12,21256.8143,1749751199999,58667145.22502100,139914,11670.79430000,32206719.96515800,0
2025-06-12 18:00:00,2762.11,2763.99,2718.15,2735.29,28349.7997,1749754799999,77655895.43808500,201085,12278.52550000,33647982.99640000,0
2025-06-12 19:00:00,2735.3,2743.79,2690.93,2695.0,34782.6459,1749758399999,94330876.06892500,221541,14929.75780000,40502913.50532500,0
2025-06-12 20:00:00,2695.0,2703.6,2616.24,2639.5,85710.4008,1749761999999,228032728.50782800,503277,36210.53250000,96290453.14920300,0
2025-06-12 21:00:00,2639.49,2660.0,2631.29,2633.6,46009.7791,1749765599999,121748020.70709600,258189,23903.82650000,63254144.20330300,0
2025-06-12 22:00:00,2633.59,2649.34,2632.73,2639.79,21892.6441,1749769199999,57826754.82018900,187360,10505.30440000,27751322.75376400,0
2025-06-12 23:00:00,2639.8,2658.81,2638.5,2642.65,20485.7184,1749772799999,54287698.75779500,121153,10587.93900000,28056304.88566600,0
2025-06-13 00:00:00,2642.66,2645.45,2496.63,2529.96,218772.0282,1749776399999,558674494.30034900,865823,93430.08640000,238604585.88730200,0
2025-06-13 01:00:00,2529.96,2529.96,2455.03,2498.06,185169.3994,1749779999999,461344978.69592000,756822,87531.20860000,218076444.84301900,0
2025-06-13 02:00:00,2498.06,2498.85,2436.98,2476.21,98666.2127,1749783599999,243997286.50396400,506871,42439.38300000,104950986.75251200,0
2025-06-13 03:00:00,2476.22,2525.12,2474.4,2514.33,80540.9927,1749787199999,201508388.65859800,298033,38512.34270000,96347083.06231500,0
2025-06-13 04:00:00,2514.32,2518.77,2495.22,2508.08,32832.9441,1749790799999,82329857.83879200,185951,15525.82990000,38935481.37749100,0
2025-06-13 05:00:00,2508.07,2519.78,2503.32,2506.63,22748.8602,1749794399999,57167129.82590600,144894,11233.48240000,28224806.54206100,0
2025-06-13 06:00:00,2506.63,2534.43,2492.0,2532.91,40680.5134,1749797999999,102061839.46810400,205900,21591.26820000,54203836.08049600,0
2025-06-13 07:00:00,2532.91,2542.26,2515.99,2526.45,65257.17,1749801599999,164994014.38893400,223797,34483.71360000,87190054.35582300,0
2025-06-13 08:00:00,2526.46,2540.63,2510.67,2517.82,38391.6135,1749805199999,97076285.47718100,201751,18639.30180000,47140498.07742600,0
2025-06-13 09:00:00,2517.82,2528.0,2506.84,2521.16,25057.2955,1749808799999,63027862.73725100,191104,12624.04690000,31760166.87464500,0
2025-06-13 10:00:00,2521.16,2534.09,2509.28,2532.8,21309.68,1749812399999,53746877.19406000,140135,11462.79530000,28916034.99950400,0
2025-06-13 11:00:00,2532.8,2545.55,2522.0,2545.4,30324.0297,1749815999999,76852422.88256800,123953,15121.68840000,38328220.72888700,0
2025-06-13 12:00:00,2545.41,2563.24,2536.56,2542.09,40982.898,1749819599999,104555693.62437200,199820,19471.84710000,49676567.11425000,0
2025-06-13 13:00:00,2542.09,2562.0,2534.89,2543.0,27382.5191,1749823199999,69784925.19281100,214607,13305.41710000,33914465.41038300,0
2025-06-13 14:00:00,2543.0,2554.93,2502.9,2538.06,59134.2024,1749826799999,149277622.53265200,294020,29128.39180000,73525510.96851400,0
2025-06-13 15:00:00,2538.06,2560.15,2530.41,2551.27,40230.9142,1749830399999,102541431.44147700,245607,20430.85530000,52080235.79057400,0
2025-06-13 16:00:00,2551.28,2585.2,2544.39,2561.91,36885.2716,1749833999999,94570561.91650200,215046,19294.04620000,49481156.84951100,0
2025-06-13 17:00:00,2561.9,2561.9,2522.0,2543.19,26857.5396,1749837599999,68246351.56139700,216746,12011.68120000,30524267.03710300,0
2025-06-13 18:00:00,2543.19,2545.89,2510.0,2529.7,36581.9506,1749841199999,92357100.00622300,248285,16957.74950000,42820287.33556700,0
2025-06-13 19:00:00,2529.69,2541.5,2521.12,2527.72,18173.0038,1749844799999,45980430.47173100,177305,8410.09060000,21281394.91792300,0
2025-06-13 20:00:00,2527.72,2553.0,2524.19,2546.83,15404.6952,1749848399999,39107511.24093000,140306,7251.48830000,18409584.98976500,0
2025-06-13 21:00:00,2546.83,2559.63,2542.49,2553.99,8965.6271,1749851999999,22867188.08469700,69217,4986.30030000,12717095.70658900,0
2025-06-13 22:00:00,2554.0,2574.19,2554.0,2571.9,12937.4984,1749855599999,33171814.63925300,85955,7153.85700000,18343793.72624500,0
2025-06-13 23:00:00,2571.9,2583.24,2565.99,2579.19,18889.4378,1749859199999,48654826.87848200,74355,9087.26380000,23413509.66139300,0
2025-06-14 00:00:00,2579.19,2579.43,2558.45,2562.63,25957.5093,1749862799999,66656645.27246600,125859,12385.12890000,31811438.14195500,0
2025-06-14 01:00:00,2562.63,2566.5,2550.27,2557.72,13715.208,1749866399999,35090372.89906300,86580,7247.25220000,18543890.43850900,0
2025-06-14 02:00:00,2557.72,2567.07,2552.33,2554.84,13505.7169,1749869999999,34540769.16978500,63881,8731.50320000,22331311.14316900,0
2025-06-14 03:00:00,2554.83,2560.0,2547.03,2548.76,11103.9459,1749873599999,28357751.24555400,56809,6037.79540000,15420023.14772200,0
2025-06-14 04:00:00,2548.76,2556.36,2548.27,2551.85,6647.1488,1749877199999,16967512.61313000,48346,3512.95390000,8966767.98522500,0
2025-06-14 05:00:00,2551.85,2556.62,2547.41,2552.28,5973.4438,1749880799999,15238244.23830100,45320,2443.01140000,6232511.31840700,0
2025-06-14 06:00:00,2552.29,2556.48,2542.15,2543.53,10622.5275,1749884399999,27055676.62712400,53187,4438.95130000,11307433.26553400,0
2025-06-14 07:00:00,2543.53,2543.61,2525.72,2537.5,13570.1756,1749887999999,34424907.03389900,61393,5396.38040000,13690294.97587000,0
2025-06-14 08:00:00,2537.5,2537.74,2526.76,2535.69,10831.5837,1749891599999,27420483.46731700,58354,5651.28590000,14306357.34857200,0
2025-06-14 09:00:00,2535.7,2535.7,2522.0,2523.0,10428.1072,1749895199999,26367465.03903600,61721,4978.46820000,12591269.29945600,0
2025-06-14 10:00:00,2523.0,2535.34,2518.51,2531.1,10393.7228,1749898799999,26270612.32308000,68581,6046.04900000,15284608.06296900,0
2025-06-14 11:00:00,2531.11,2539.79,2530.58,2538.52,9035.6641,1749902399999,22900956.03027400,50581,4264.97410000,10811245.18006500,0
2025-06-14 12:00:00,2538.51,2539.01,2528.7,2536.64,11934.0058,1749905999999,30226886.47667000,59879,4769.90940000,12083384.89867200,0
2025-06-14 13:00:00,2536.65,2546.19,2526.21,2534.69,10084.0411,1749909599999,25582634.48672600,77617,4955.75420000,12575397.94833400,0
2025-06-14 14:00:00,2534.7,2537.0,2524.05,2529.3,9377.6475,1749913199999,23722005.95410400,65863,4522.58210000,11442269.30472600,0
2025-06-14 15:00:00,2529.31,2532.95,2504.95,2519.42,25499.7729,1749916799999,64228955.37883000,138599,11069.89930000,27879167.57339500,0
2025-06-14 16:00:00,2519.41,2526.11,2492.32,2497.55,26650.6372,1749920399999,66772493.69378500,163074,11932.33770000,29898711.57466300,0
2025-06-14 17:00:00,2497.55,2518.23,2489.4,2511.49,31614.0438,1749923999999,79183198.98760800,122766,11900.83320000,29816825.40893500,0
2025-06-14 18:00:00,2511.49,2523.36,2488.72,2508.48,17572.54,1749927599999,43984633.47128000,137225,9340.19370000,23379179.85249700,0
2025-06-14 19:00:00,2508.49,2521.75,2505.2,2507.5,12570.0892,1749931199999,31602390.53795700,116366,5936.37480000,14924944.36895700,0
2025-06-14 20:00:00,2507.5,2513.77,2496.58,2509.37,9960.0799,1749934799999,24955164.66428100,103356,4757.04550000,11918461.49815100,0
2025-06-14 21:00:00,2509.37,2535.29,2506.42,2527.94,14081.5397,1749938399999,35477334.42005300,91482,6613.18080000,16671997.80211900,0
2025-06-14 22:00:00,2527.95,2533.6,2517.99,2526.49,9446.9669,1749941999999,23868559.36769000,75522,3388.37370000,8561790.49702900,0
2025-06-14 23:00:00,2526.48,2540.19,2526.08,2530.76,10862.8102,1749945599999,27504333.06209400,56597,4969.19890000,12584026.05999500,0
2025-06-15 00:00:00,2530.77,2540.99,2528.8,2537.6,9325.7975,1749949199999,23644535.33140100,62557,4356.01600000,11042577.67578500,0
2025-06-15 01:00:00,2537.61,2539.2,2524.77,2528.99,7500.4188,1749952799999,18986943.69030600,52466,2520.68080000,6379929.76888200,0
2025-06-15 02:00:00,2529.0,2537.84,2528.12,2529.19,5463.0033,1749956399999,13841447.80098900,36834,3021.06050000,7656418.87577100,0
2025-06-15 03:00:00,2529.2,2534.9,2527.73,2530.1,3822.2814,1749959999999,9675642.67348900,35503,2132.40040000,5397841.51709100,0
2025-06-15 04:00:00,2530.11,2546.23,2529.6,2543.49,11527.406,1749963599999,29247382.10384300,47733,7319.90470000,18570765.45942700,0
2025-06-15 05:00:00,2543.5,2553.08,2535.16,2551.11,10870.3448,1749967199999,27669935.99741100,58767,6525.33710000,16611203.45253600,0
2025-06-15 06:00:00,2551.11,2553.03,2533.29,2535.6,11968.6734,1749970799999,30402127.83337800,62291,5095.12110000,12941445.37675200,0
2025-06-15 07:00:00,2535.61,2536.0,2522.54,2528.61,11737.0031,1749974399999,29674868.48178000,51749,4481.19990000,11331828.87016100,0
2025-06-15 08:00:00,2528.61,2529.97,2518.61,2520.6,8024.166,1749977999999,20242527.16006300,55570,4378.07870000,11044325.66548900,0
2025-06-15 09:00:00,2520.6,2520.6,2508.45,2510.37,12651.7013,1749981599999,31800743.41245800,75625,6598.36520000,16586495.67451600,0
2025-06-15 10:00:00,2510.36,2523.74,2509.93,2520.19,12464.9068,1749985199999,31387171.50903700,59609,7047.08810000,17743772.06980400,0
2025-06-15 11:00:00,2520.19,2523.37,2511.65,2516.1,7758.02,1749988799999,19527936.07013100,48442,4011.87050000,10099223.92199700,0
2025-06-15 12:00:00,2516.1,2526.81,2516.0,2525.82,10073.9347,1749992399999,25404101.89055800,55492,4264.56010000,10757237.12937900,0
2025-06-15 13:00:00,2525.81,2545.12,2522.61,2543.03,18812.1998,1749995999999,47684190.66235000,102927,11645.93900000,29516667.90677100,0
2025-06-15 14:00:00,2543.04,2554.96,2535.73,2548.76,19726.6254,1749999599999,50201076.71345200,117930,11804.09540000,30041439.84270300,0
2025-06-15 15:00:00,2548.76,2553.2,2538.69,2541.81,14710.3571,1750003199999,37468538.97485200,90967,7191.98660000,18319231.93172800,0
2025-06-15 16:00:00,2541.81,2555.42,2536.0,2551.57,17463.9431,1750006799999,44462298.69031200,90589,10202.51050000,25980482.55295200,0
2025-06-15 17:00:00,2551.57,2559.51,2544.54,2553.75,9703.1382,1750010399999,24751333.27356100,73156,5812.77590000,14827446.95349900,0
2025-06-15 18:00:00,2553.75,2554.59,2541.0,2548.65,6875.7451,1750013999999,17510058.88393400,55574,3571.74740000,9097004.84252700,0
2025-06-15 19:00:00,2548.65,2553.45,2531.09,2536.79,10787.1429,1750017599999,27390179.20063800,75672,4676.21660000,11877717.55245400,0
2025-06-15 20:00:00,2536.79,2536.98,2492.0,2503.34,30433.7822,1750021199999,76317777.30509800,169018,12275.85800000,30779599.95780100,0
2025-06-15 21:00:00,2503.33,2518.96,2497.69,2517.4,15061.1847,1750024799999,37788065.77576200,91464,8544.35970000,21436835.98319800,0
2025-06-15 22:00:00,2517.41,2549.8,2513.52,2544.66,23185.6109,1750028399999,58833720.56978100,193115,12095.17440000,30682781.51311600,0
2025-06-15 23:00:00,2544.67,2549.96,2539.8,2547.61,9754.2759,1750031999999,24830132.76303900,83439,3680.06070000,9368443.86937700,0
2025-06-16 00:00:00,2547.62,2552.92,2538.51,2544.87,13832.3015,1750035599999,35198218.65556700,95340,5787.02820000,14729325.64773400,0
2025-06-16 01:00:00,2544.88,2559.3,2514.85,2554.6,32719.8335,1750039199999,83007686.88550900,178537,16585.84600000,42100559.83739600,0
2025-06-16 02:00:00,2554.59,2579.0,2554.55,2574.3,29014.2226,1750042799999,74603453.88802800,179375,14250.68500000,36638268.60607300,0
2025-06-16 03:00:00,2574.3,2575.47,2564.28,2568.25,12333.361,1750046399999,31698217.34050300,74487,5618.66230000,14442988.15676600,0
