timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-06-11 23:00:00,2.2613,2.2715,2.2594,2.2704,2724069.7,1749686399999,6173984.98743000,22290,1561989.70000000,3539991.86521000,0
2025-06-12 00:00:00,2.2704,2.2733,2.2567,2.2666,3352313.9,1749689999999,7595504.61303000,35331,1428233.10000000,3236156.54724000,0
2025-06-12 01:00:00,2.2665,2.2678,2.246,2.257,4534031.1,1749693599999,10222095.51690000,46523,2415138.60000000,5446896.80996000,0
2025-06-12 02:00:00,2.257,2.2621,2.2465,2.2484,3291393.0,1749697199999,7413841.59405000,28774,2268270.00000000,5109686.99163000,0
2025-06-12 03:00:00,2.2484,2.2521,2.2376,2.244,5067154.8,1749700799999,11376359.50406000,31571,3189238.20000000,7161096.22635000,0
2025-06-12 04:00:00,2.244,2.249,2.2376,2.2475,3975298.3,1749704399999,8919674.81876000,23801,2613922.10000000,5865947.44014000,0
2025-06-12 05:00:00,2.2475,2.2576,2.2436,2.2561,2859466.6,1749707999999,6440073.93773000,26177,1397471.00000000,3147026.62481000,0
2025-06-12 06:00:00,2.256,2.2565,2.2477,2.2492,3008861.1,1749711599999,6775791.87896000,25797,1157128.70000000,2605663.07449000,0
2025-06-12 07:00:00,2.2492,2.2495,2.2321,2.2397,5036142.0,1749715199999,11283336.75571000,31349,2534998.00000000,5678872.76187000,0
2025-06-12 08:00:00,2.2397,2.2454,2.2313,2.2444,3603882.0,1749718799999,8071812.20193000,39119,1703334.70000000,3815788.41285000,0
2025-06-12 09:00:00,2.2445,2.2497,2.2428,2.245,2007261.6,1749722399999,4508970.67720000,21835,906172.70000000,2035511.17676000,0
2025-06-12 10:00:00,2.2449,2.245,2.2337,2.2391,3022535.6,1749725999999,6767751.95885000,36005,1278774.70000000,2863180.74860000,0
2025-06-12 11:00:00,2.2391,2.2399,2.2237,2.2255,4597391.6,1749729599999,10251760.60652000,35300,2020099.80000000,4505564.47546000,0
2025-06-12 12:00:00,2.2255,2.2379,2.2211,2.2339,3540693.7,1749733199999,7895645.98964000,31748,1796440.80000000,4007006.00438000,0
2025-06-12 13:00:00,2.2339,2.2468,2.2324,2.2449,3467921.6,1749736799999,7767384.95049000,45956,1689627.70000000,3784103.96287000,0
2025-06-12 14:00:00,2.2448,2.2525,2.2448,2.2486,4520582.4,1749740399999,10167158.83268000,37884,2134339.80000000,4800190.04691000,0
2025-06-12 15:00:00,2.2486,2.2525,2.2277,2.2284,4058704.0,1749743999999,9090810.03050000,48536,1830584.40000000,4100825.95887000,0
2025-06-12 16:00:00,2.2285,2.2472,2.2278,2.243,4436656.3,1749747599999,9940170.52532000,34532,2897672.30000000,6491632.91534000,0
2025-06-12 17:00:00,2.243,2.2553,2.2417,2.252,2885965.6,1749751199999,6496577.96828000,23990,1523274.80000000,3428669.43739000,0
2025-06-12 18:00:00,2.2521,2.2528,2.2305,2.2383,1996420.2,1749754799999,4472120.53126000,25075,723229.90000000,1619252.65070000,0
2025-06-12 19:00:00,2.2384,2.2428,2.2026,2.2037,5693670.0,1749758399999,12625438.37950000,59227,2218255.90000000,4917927.69143000,0
2025-06-12 20:00:00,2.2037,2.2131,2.1706,2.1837,11975131.4,1749761999999,26238302.52665000,112584,4643960.60000000,10178201.54005000,0
2025-06-12 21:00:00,2.1836,2.2051,2.178,2.1898,4903455.8,1749765599999,10752335.58203000,49831,2502906.60000000,5487533.01754000,0
2025-06-12 22:00:00,2.1898,2.1993,2.1809,2.1874,3638390.4,1749769199999,7964061.82750000,47036,1381603.50000000,3024267.48362000,0
2025-06-12 23:00:00,2.1874,2.1974,2.185,2.1899,2746874.3,1749772799999,6021558.52545000,29662,1555268.90000000,3409488.66332000,0
2025-06-13 00:00:00,2.19,2.1918,2.095,2.1249,31852177.2,1749776399999,68032228.19307000,276178,14637110.10000000,31270309.64982000,0
2025-06-13 01:00:00,2.1249,2.125,2.0848,2.1105,19184530.4,1749779999999,40369264.77667000,186382,9455253.40000000,19897571.58121000,0
2025-06-13 02:00:00,2.1106,2.1123,2.0828,2.1018,10791681.6,1749783599999,22633543.91379000,112268,5780096.10000000,12122108.97412000,0
2025-06-13 03:00:00,2.1018,2.1342,2.1008,2.1251,8882131.1,1749787199999,18827254.70735000,65167,5283091.90000000,11197157.13834000,0
2025-06-13 04:00:00,2.1252,2.1255,2.11,2.1231,5337520.4,1749790799999,11296126.09975000,47200,3076700.70000000,6510724.25505000,0
